lat,lon,year,AGB,clay,sand,silt,elev,annual_precip,peat_frac,Hydraulic_Stress,NDVI,precip_clay_interaction,groundwater_depth
-2.541666667,111.9583333,1993,65.59501402,369,280,353,25,2915.452949523926,3.2985629272564907,0.9994984954864594,0.6867356300354004,1075802.1383743286,260.2852961222331
-2.541666667,111.9583333,1994,60.98251909,369,280,353,25,2624.599528312683,3.2985629272564907,0.999498746867168,0.736608624,968477.2259473801,260.2852961222331
-2.541666667,111.9583333,1995,60.0375193,369,280,353,25,3164.1510622501373,3.2985629272564907,0.999498997995992,0.7366493344306946,1167571.7419703007,260.2852961222331
-2.541666667,111.9583333,1996,59.79502139,369,280,353,25,3016.043040037155,3.2985629272564907,0.99949924887331,0.8269712924957275,1112919.8817737103,260.2852961222331
-2.541666667,111.9583333,1997,57.0450105,369,280,353,25,2037.5988364219663,3.2985629272564907,0.9994994994994996,0.6708093285560608,751873.9706397055,260.2852961222331
-2.541666667,111.9583333,1998,57.02251532,369,280,353,25,3673.5040807724,3.2985629272564907,0.9994997498749376,0.4456168413162231,1355523.0058050156,260.2852961222331
-2.541666667,111.9583333,1999,60.07751939,369,280,353,25,3279.838092327118,3.2985629272564907,0.9995,0.3427172005176544,1210260.2560687065,260.2852961222331
-2.541666667,111.9583333,2000,59.69502158,369,280,353,25,3281.704326152801,3.2985629272564907,0.9995002498750624,0.7862841486930847,1210948.8963503835,260.2852961222331
-2.541666667,111.9583333,2001,63.72501597,369,280,353,25,3161.283612728119,3.2985629272564907,0.9995004995004996,0.7884920835494995,1166513.6530966759,260.2852961222331
-2.541666667,111.9583333,2002,66.78251328,369,280,353,25,2437.0212223529816,3.2985629272564907,0.9995007488766848,0.7393000000000001,899260.8310482502,260.2852961222331
-2.541666667,111.9583333,2003,63.66251623,369,280,353,25,2721.158592224121,3.2985629272564907,0.999500998003992,0.7813248038291931,1004107.5205307007,213.22927856445312
-2.541666667,111.9583333,2004,70.10751546,369,280,353,25,2337.7039756774902,3.2985629272564907,0.9995012468827932,0.7632060050964355,862612.7670249939,252.8760681152344
-2.541666667,111.9583333,2005,81.30252914,369,280,353,25,2745.6492099761963,3.2985629272564907,0.9995014955134596,0.8126348257064819,1013144.5584812164,273.2954406738281
-2.541666667,111.9583333,2006,89.44504456,369,280,353,25,2719.309786081314,3.2985629272564907,0.9995017438963628,0.7223057746887207,1003425.3110640049,226.10801696777344
-2.541666667,111.9583333,2007,71.01251343,369,280,353,25,3279.6511647701263,3.2985629272564907,0.9995019920318724,0.8101931810379028,1210191.2798001766,260.3643798828125
-2.541666667,111.9583333,2008,88.84504446,369,280,353,25,3575.4433364868164,3.2985629272564907,0.9995022399203584,0.7975591421127319,1319338.5911636353,256.5255126953125
-2.541666667,111.9583333,2009,87.19754575,369,280,353,25,2758.7075150609016,3.2985629272564907,0.9995024875621892,0.7836248278617859,1017963.0730574727,224.0420684814453
-2.541666667,111.9583333,2010,85.37505133,369,280,353,25,4398.859351873398,3.2985629272564907,0.9995027349577325,0.7866485118865967,1623179.1008412838,344.4319152832031
-2.541666667,111.9583333,2011,80.19505212,369,280,353,25,3163.5288227796555,3.2985629272564907,0.999502982107356,0.8007888793945312,1167342.1356056929,219.3420867919922
