lat,lon,year,AGB,NDVI,soil_clay,soil_sand,soil_silt,groundwater_depth,total_precipitation,peatland_fraction,elevation,clay,sand,silt,elev,peat,annual_precip,rzm,elevation_peat,precip_clay_interaction,Hydraulic_Stress,clay_median,sand_median,silt_median,elev_median,peat_median,clay_median.1,sand_median.1,silt_median.1,elev_median.1,peat_median.1,clay_median.2,sand_median.2,silt_median.2,elev_median.2,peat_median.2,clay_median,sand_median,silt_median,elev_median,peat_median
-2.541666667,111.9583333,2003,63.66251623,0.7813248038291931,369.0,280.0,353.0,213.22927856445312,2721.158592224121,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2003,2003,82.46407318141226,739107,0.9995009980039921,"{'_idx': 10, 'median': 369, 'year': 2003}","{'_idx': 10, 'median': 280, 'year': 2003}","{'_idx': 10, 'median': 353, 'year': 2003}","{'_idx': 10, 'median': 25, 'year': 2003}","{'_idx': 10, 'median': 3.2985629272564907, 'year': 2003}","{'_idx': 10, 'median': 369, 'year': 2003}","{'_idx': 10, 'median': 280, 'year': 2003}","{'_idx': 10, 'median': 353, 'year': 2003}","{'_idx': 10, 'median': 25, 'year': 2003}","{'_idx': 10, 'median': 3.2985629272564907, 'year': 2003}","{'_idx': 10, 'median': 369, 'year': 2003}","{'_idx': 10, 'median': 280, 'year': 2003}","{'_idx': 10, 'median': 353, 'year': 2003}","{'_idx': 10, 'median': 25, 'year': 2003}","{'_idx': 10, 'median': 3.2985629272564907, 'year': 2003}","{'_idx': 10, 'median': 369, 'year': 2003}","{'_idx': 10, 'median': 280, 'year': 2003}","{'_idx': 10, 'median': 353, 'year': 2003}","{'_idx': 10, 'median': 25, 'year': 2003}","{'_idx': 10, 'median': 3.2985629272564907, 'year': 2003}"
-2.541666667,111.9583333,2004,70.10751546,0.7632060050964355,369.0,280.0,353.0,252.8760681152344,2337.7039756774902,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2004,2004,82.46407318141226,739476,0.9995012468827931,"{'_idx': 11, 'median': 369, 'year': 2004}","{'_idx': 11, 'median': 280, 'year': 2004}","{'_idx': 11, 'median': 353, 'year': 2004}","{'_idx': 11, 'median': 25, 'year': 2004}","{'_idx': 11, 'median': 3.2985629272564907, 'year': 2004}","{'_idx': 11, 'median': 369, 'year': 2004}","{'_idx': 11, 'median': 280, 'year': 2004}","{'_idx': 11, 'median': 353, 'year': 2004}","{'_idx': 11, 'median': 25, 'year': 2004}","{'_idx': 11, 'median': 3.2985629272564907, 'year': 2004}","{'_idx': 11, 'median': 369, 'year': 2004}","{'_idx': 11, 'median': 280, 'year': 2004}","{'_idx': 11, 'median': 353, 'year': 2004}","{'_idx': 11, 'median': 25, 'year': 2004}","{'_idx': 11, 'median': 3.2985629272564907, 'year': 2004}","{'_idx': 11, 'median': 369, 'year': 2004}","{'_idx': 11, 'median': 280, 'year': 2004}","{'_idx': 11, 'median': 353, 'year': 2004}","{'_idx': 11, 'median': 25, 'year': 2004}","{'_idx': 11, 'median': 3.2985629272564907, 'year': 2004}"
-2.541666667,111.9583333,2005,81.30252914,0.8126348257064819,369.0,280.0,353.0,273.2954406738281,2745.6492099761963,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2005,2005,82.46407318141226,739845,0.9995014955134596,"{'_idx': 12, 'median': 369, 'year': 2005}","{'_idx': 12, 'median': 280, 'year': 2005}","{'_idx': 12, 'median': 353, 'year': 2005}","{'_idx': 12, 'median': 25, 'year': 2005}","{'_idx': 12, 'median': 3.2985629272564907, 'year': 2005}","{'_idx': 12, 'median': 369, 'year': 2005}","{'_idx': 12, 'median': 280, 'year': 2005}","{'_idx': 12, 'median': 353, 'year': 2005}","{'_idx': 12, 'median': 25, 'year': 2005}","{'_idx': 12, 'median': 3.2985629272564907, 'year': 2005}","{'_idx': 12, 'median': 369, 'year': 2005}","{'_idx': 12, 'median': 280, 'year': 2005}","{'_idx': 12, 'median': 353, 'year': 2005}","{'_idx': 12, 'median': 25, 'year': 2005}","{'_idx': 12, 'median': 3.2985629272564907, 'year': 2005}","{'_idx': 12, 'median': 369, 'year': 2005}","{'_idx': 12, 'median': 280, 'year': 2005}","{'_idx': 12, 'median': 353, 'year': 2005}","{'_idx': 12, 'median': 25, 'year': 2005}","{'_idx': 12, 'median': 3.2985629272564907, 'year': 2005}"
-2.541666667,111.9583333,2006,89.44504456,0.7223057746887207,369.0,280.0,353.0,226.10801696777344,2719.309786081314,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2006,2006,82.46407318141226,740214,0.9995017438963627,"{'_idx': 13, 'median': 369, 'year': 2006}","{'_idx': 13, 'median': 280, 'year': 2006}","{'_idx': 13, 'median': 353, 'year': 2006}","{'_idx': 13, 'median': 25, 'year': 2006}","{'_idx': 13, 'median': 3.2985629272564907, 'year': 2006}","{'_idx': 13, 'median': 369, 'year': 2006}","{'_idx': 13, 'median': 280, 'year': 2006}","{'_idx': 13, 'median': 353, 'year': 2006}","{'_idx': 13, 'median': 25, 'year': 2006}","{'_idx': 13, 'median': 3.2985629272564907, 'year': 2006}","{'_idx': 13, 'median': 369, 'year': 2006}","{'_idx': 13, 'median': 280, 'year': 2006}","{'_idx': 13, 'median': 353, 'year': 2006}","{'_idx': 13, 'median': 25, 'year': 2006}","{'_idx': 13, 'median': 3.2985629272564907, 'year': 2006}","{'_idx': 13, 'median': 369, 'year': 2006}","{'_idx': 13, 'median': 280, 'year': 2006}","{'_idx': 13, 'median': 353, 'year': 2006}","{'_idx': 13, 'median': 25, 'year': 2006}","{'_idx': 13, 'median': 3.2985629272564907, 'year': 2006}"
-2.541666667,111.9583333,2007,71.01251343,0.8101931810379028,369.0,280.0,353.0,260.3643798828125,3279.6511647701263,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2007,2007,82.46407318141226,740583,0.9995019920318725,"{'_idx': 14, 'median': 369, 'year': 2007}","{'_idx': 14, 'median': 280, 'year': 2007}","{'_idx': 14, 'median': 353, 'year': 2007}","{'_idx': 14, 'median': 25, 'year': 2007}","{'_idx': 14, 'median': 3.2985629272564907, 'year': 2007}","{'_idx': 14, 'median': 369, 'year': 2007}","{'_idx': 14, 'median': 280, 'year': 2007}","{'_idx': 14, 'median': 353, 'year': 2007}","{'_idx': 14, 'median': 25, 'year': 2007}","{'_idx': 14, 'median': 3.2985629272564907, 'year': 2007}","{'_idx': 14, 'median': 369, 'year': 2007}","{'_idx': 14, 'median': 280, 'year': 2007}","{'_idx': 14, 'median': 353, 'year': 2007}","{'_idx': 14, 'median': 25, 'year': 2007}","{'_idx': 14, 'median': 3.2985629272564907, 'year': 2007}","{'_idx': 14, 'median': 369, 'year': 2007}","{'_idx': 14, 'median': 280, 'year': 2007}","{'_idx': 14, 'median': 353, 'year': 2007}","{'_idx': 14, 'median': 25, 'year': 2007}","{'_idx': 14, 'median': 3.2985629272564907, 'year': 2007}"
-2.541666667,111.9583333,2008,88.84504446,0.7975591421127319,369.0,280.0,353.0,256.5255126953125,3575.4433364868164,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2008,2008,82.46407318141226,740952,0.9995022399203584,"{'_idx': 15, 'median': 369, 'year': 2008}","{'_idx': 15, 'median': 280, 'year': 2008}","{'_idx': 15, 'median': 353, 'year': 2008}","{'_idx': 15, 'median': 25, 'year': 2008}","{'_idx': 15, 'median': 3.2985629272564907, 'year': 2008}","{'_idx': 15, 'median': 369, 'year': 2008}","{'_idx': 15, 'median': 280, 'year': 2008}","{'_idx': 15, 'median': 353, 'year': 2008}","{'_idx': 15, 'median': 25, 'year': 2008}","{'_idx': 15, 'median': 3.2985629272564907, 'year': 2008}","{'_idx': 15, 'median': 369, 'year': 2008}","{'_idx': 15, 'median': 280, 'year': 2008}","{'_idx': 15, 'median': 353, 'year': 2008}","{'_idx': 15, 'median': 25, 'year': 2008}","{'_idx': 15, 'median': 3.2985629272564907, 'year': 2008}","{'_idx': 15, 'median': 369, 'year': 2008}","{'_idx': 15, 'median': 280, 'year': 2008}","{'_idx': 15, 'median': 353, 'year': 2008}","{'_idx': 15, 'median': 25, 'year': 2008}","{'_idx': 15, 'median': 3.2985629272564907, 'year': 2008}"
-2.541666667,111.9583333,2009,87.19754575,0.7836248278617859,369.0,280.0,353.0,224.0420684814453,2758.7075150609016,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2009,2009,82.46407318141226,741321,0.9995024875621891,"{'_idx': 16, 'median': 369, 'year': 2009}","{'_idx': 16, 'median': 280, 'year': 2009}","{'_idx': 16, 'median': 353, 'year': 2009}","{'_idx': 16, 'median': 25, 'year': 2009}","{'_idx': 16, 'median': 3.2985629272564907, 'year': 2009}","{'_idx': 16, 'median': 369, 'year': 2009}","{'_idx': 16, 'median': 280, 'year': 2009}","{'_idx': 16, 'median': 353, 'year': 2009}","{'_idx': 16, 'median': 25, 'year': 2009}","{'_idx': 16, 'median': 3.2985629272564907, 'year': 2009}","{'_idx': 16, 'median': 369, 'year': 2009}","{'_idx': 16, 'median': 280, 'year': 2009}","{'_idx': 16, 'median': 353, 'year': 2009}","{'_idx': 16, 'median': 25, 'year': 2009}","{'_idx': 16, 'median': 3.2985629272564907, 'year': 2009}","{'_idx': 16, 'median': 369, 'year': 2009}","{'_idx': 16, 'median': 280, 'year': 2009}","{'_idx': 16, 'median': 353, 'year': 2009}","{'_idx': 16, 'median': 25, 'year': 2009}","{'_idx': 16, 'median': 3.2985629272564907, 'year': 2009}"
-2.541666667,111.9583333,2010,85.37505133,0.7866485118865967,369.0,280.0,353.0,344.4319152832031,4398.859351873398,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2010,2010,82.46407318141226,741690,0.9995027349577325,"{'_idx': 17, 'median': 369, 'year': 2010}","{'_idx': 17, 'median': 280, 'year': 2010}","{'_idx': 17, 'median': 353, 'year': 2010}","{'_idx': 17, 'median': 25, 'year': 2010}","{'_idx': 17, 'median': 3.2985629272564907, 'year': 2010}","{'_idx': 17, 'median': 369, 'year': 2010}","{'_idx': 17, 'median': 280, 'year': 2010}","{'_idx': 17, 'median': 353, 'year': 2010}","{'_idx': 17, 'median': 25, 'year': 2010}","{'_idx': 17, 'median': 3.2985629272564907, 'year': 2010}","{'_idx': 17, 'median': 369, 'year': 2010}","{'_idx': 17, 'median': 280, 'year': 2010}","{'_idx': 17, 'median': 353, 'year': 2010}","{'_idx': 17, 'median': 25, 'year': 2010}","{'_idx': 17, 'median': 3.2985629272564907, 'year': 2010}","{'_idx': 17, 'median': 369, 'year': 2010}","{'_idx': 17, 'median': 280, 'year': 2010}","{'_idx': 17, 'median': 353, 'year': 2010}","{'_idx': 17, 'median': 25, 'year': 2010}","{'_idx': 17, 'median': 3.2985629272564907, 'year': 2010}"
-2.541666667,111.9583333,2011,80.19505212,0.8007888793945312,369.0,280.0,353.0,219.3420867919922,3163.5288227796555,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2011,2011,82.46407318141226,742059,0.9995029821073559,"{'_idx': 18, 'median': 369, 'year': 2011}","{'_idx': 18, 'median': 280, 'year': 2011}","{'_idx': 18, 'median': 353, 'year': 2011}","{'_idx': 18, 'median': 25, 'year': 2011}","{'_idx': 18, 'median': 3.2985629272564907, 'year': 2011}","{'_idx': 18, 'median': 369, 'year': 2011}","{'_idx': 18, 'median': 280, 'year': 2011}","{'_idx': 18, 'median': 353, 'year': 2011}","{'_idx': 18, 'median': 25, 'year': 2011}","{'_idx': 18, 'median': 3.2985629272564907, 'year': 2011}","{'_idx': 18, 'median': 369, 'year': 2011}","{'_idx': 18, 'median': 280, 'year': 2011}","{'_idx': 18, 'median': 353, 'year': 2011}","{'_idx': 18, 'median': 25, 'year': 2011}","{'_idx': 18, 'median': 3.2985629272564907, 'year': 2011}","{'_idx': 18, 'median': 369, 'year': 2011}","{'_idx': 18, 'median': 280, 'year': 2011}","{'_idx': 18, 'median': 353, 'year': 2011}","{'_idx': 18, 'median': 25, 'year': 2011}","{'_idx': 18, 'median': 3.2985629272564907, 'year': 2011}"
-2.541666667,111.9583333,2012,85.36505132,0.7528,369.0,280.0,353.0,231.6387481689453,2565.146603822708,3.2985629272564907,25.0,369,280,353,25,3.2985629272564907,2012,2012,82.46407318141226,742428,0.9995032290114257,"{'_idx': 19, 'median': 369, 'year': 2012}","{'_idx': 19, 'median': 280, 'year': 2012}","{'_idx': 19, 'median': 353, 'year': 2012}","{'_idx': 19, 'median': 25, 'year': 2012}","{'_idx': 19, 'median': 3.2985629272564907, 'year': 2012}","{'_idx': 19, 'median': 369, 'year': 2012}","{'_idx': 19, 'median': 280, 'year': 2012}","{'_idx': 19, 'median': 353, 'year': 2012}","{'_idx': 19, 'median': 25, 'year': 2012}","{'_idx': 19, 'median': 3.2985629272564907, 'year': 2012}","{'_idx': 19, 'median': 369, 'year': 2012}","{'_idx': 19, 'median': 280, 'year': 2012}","{'_idx': 19, 'median': 353, 'year': 2012}","{'_idx': 19, 'median': 25, 'year': 2012}","{'_idx': 19, 'median': 3.2985629272564907, 'year': 2012}","{'_idx': 19, 'median': 369, 'year': 2012}","{'_idx': 19, 'median': 280, 'year': 2012}","{'_idx': 19, 'median': 353, 'year': 2012}","{'_idx': 19, 'median': 25, 'year': 2012}","{'_idx': 19, 'median': 3.2985629272564907, 'year': 2012}"
